#FromNodeId	ToNodeId	Weight
3968	34120	0.31
51775	41764	0.66
3157	60957	0.45
65190	23242	0.29
5163	67600	0.06
70999	74647	0.97
75238	73278	0.12
77756	20892	0.57
21973	74135	0.11
43366	37365	0.83
41793	32971	0.89
94754	99247	0.27
2850	42753	0.16
48577	38066	0.62
46933	52224	0.11
78593	28600	0.62
46327	23373	0.35
76283	87763	0.34
73409	84069	0.32
99030	15322	1.0
51962	61555	0.9
26805	42778	0.21
52674	12901	0.9
63637	21457	0.97
19189	24	0.05
97370	22023	0.62
67537	77830	0.41
74148	35182	0.27
32057	23806	0.38
73781	22998	0.68
13435	80920	0.36
4610	25845	0.39
77236	89921	0.07
84689	99655	0.74
10849	23872	0.75
92463	7996	0.55
59961	8615	0.57
49361	12141	0.79
15040	88988	0.36
92320	75724	0.56
72629	27270	0.48
90346	11840	0.06
57228	56059	0.31
27324	86099	0.48
5520	51671	0.66
53909	53169	0.54
3683	15815	0.64
95295	100	0.75
47029	8301	0.51
975	37159	0.65
13195	83348	0.9
6860	3111	0.67
6852	37409	0.98
13545	45487	0.09
22351	73756	0.71
56306	33004	0.67
36348	76190	0.07
18371	75383	0.84
20897	53755	0.2
59315	85272	0.51
84212	46693	0.65
7299	345	0.01
30916	55140	0.25
48714	1157	0.44
97520	493	0.54
6213	5388	0.78
69487	79292	0.8
99853	93455	0.33
60342	68595	0.51
79940	66078	0.75
57185	33985	0.67
94667	45230	0.07
63831	7420	0.93
31911	68740	0.18
35065	19396	0.43
62662	74164	0.08
61928	39405	0.33
38771	87800	0.63
8161	39006	0.7
66058	44941	0.65
8113	37050	0.55
10192	4292	0.94
26145	15382	0.22
91210	10430	0.34
81942	70984	0.99
56678	63300	0.95
43549	66119	0.73
23436	49743	0.36
51164	84899	0.48
17455	46067	0.1
7923	96139	0.43
41495	26974	0.29
75452	61886	0.98
97250	24554	0.53
66122	58893	0.25
4792	75355	0.9
878	4706	0.34
67874	33130	0.81
40279	12363	0.45
76097	66767	0.16
67306	29083	0.79
41908	29548	0.05
81899	48513	0.69
84553	30295	0.79
40757	77729	0.07
30722	34003	0.28
69567	34241	0.41
92874	12140	1.0
11110	4633	0.3
54533	96263	1.0
10266	6514	0.79
22493	37205	0.58
36327	64575	0.05
29298	64590	0.54
69231	36767	0.91
96623	83500	0.52
75093	93821	0.68
86849	4218	0.74
71174	38043	0.64
24377	13179	0.99
34542	40501	0.47
36565	89936	0.84
39693	3654	0.88
90769	56059	0.62
96761	75955	0.79
42746	44986	0.94
15297	54201	0.72
13991	9859	0.07
87267	57093	0.61
94457	76802	0.71
409	93414	0.16
86749	63013	0.33
29140	60650	0.36
96529	40992	0.38
12904	39729	0.68
78389	23533	0.89
69132	5478	0.75
30207	85355	0.5
5966	78835	0.97
42454	80228	0.19
38222	55412	0.69
7739	38804	0.54
51787	80972	0.89
24475	23232	0.35
94233	45487	0.28
8461	55910	0.47
45745	64921	0.06
74986	50870	0.1
97182	50979	0.13
79617	41847	0.37
88918	20220	0.5
11230	60751	0.47
65671	80355	0.36
68872	21174	0.66
19977	98047	0.64
24260	66466	0.9
51619	38613	0.29
6785	62286	0.89
47346	4889	0.18
30797	98879	0.88
37754	59257	0.75
11565	86628	0.72
56714	69299	0.43
13990	34056	0.04
51501	92251	0.96
58115	51502	0.52
93609	57741	0.18
67919	35145	0.25
19788	72159	0.38
90606	66910	0.12
37517	4796	0.81
8367	59059	0.98
56331	35891	0.68
74595	86759	0.44
10694	26895	0.6
54072	18360	0.15
49035	58381	0.65
66755	25897	0.72
7199	87268	0.47
4902	27770	0.65
77511	66495	0.8
15613	35163	0.51
49076	44245	0.03
61815	59164	0.73
92158	10546	0.18
57135	54115	0.92
684	71234	0.97
70858	12270	0.7
15244	60759	0.44
82533	42358	0.71
12524	83709	0.33
56919	66231	0.99
30664	97009	0.9
78834	69999	0.57
45630	76306	0.93
67908	61411	0.61
51390	95147	0.77
4454	53401	0.41
35935	58415	0.93
98208	91259	0.2
41865	4413	0.65
96753	27899	0.31
75394	18492	0.3
11101	28694	0.16
16379	97794	0.01
13178	43313	0.93
38983	47028	0.97
53265	62012	0.17
90634	63519	0.11
77567	22238	0.85
83253	31746	0.26
71879	93234	0.52
59881	52591	0.33
49197	50279	0.6
48817	79230	0.28
11496	13968	0.08
72085	81573	0.88
1734	4461	0.27
78477	74896	0.96
80045	57362	0.99
30906	614	0.4
56006	95258	0.98
69723	72314	0.2
90995	96931	0.26
35918	81042	0.07
58400	84063	0.54
25702	11393	0.41
36537	1236	0.87
43777	38151	0.58
2343	43935	0.98
1610	36794	0.26
66228	70891	0.63
48080	33662	0.18
32752	89784	0.77
27162	33905	0.5
29650	91974	0.25
89543	76425	0.15
56139	17762	0.8
16237	3811	0.25
25819	88692	0.75
48144	75834	0.03
62917	62695	0.96
61520	90519	0.81
7417	41464	0.29
72871	65916	0.53
93421	76646	0.64
1812	23235	0.56
29762	12583	0.17
8901	426	0.93
30588	6124	0.34
50272	4111	0.43
93047	39486	0.4
45716	62572	0.84
37601	90145	0.64
79251	72869	1.0
28328	58337	0.12
20889	81972	0.63
81824	30140	0.19
82740	65955	0.21
65107	25439	0.52
38334	47128	0.44
58676	5688	0.21
88129	15767	0.79
23331	80478	0.98
85774	11772	0.88
77592	97958	0.65
65687	54884	0.57
53578	29058	0.57
29168	93483	0.37
44030	64397	0.96
11030	55545	0.6
78189	5940	0.95
23792	21604	0.59
91601	96521	0.17
49205	8701	0.26
70247	21152	0.28
24661	19299	0.14
41756	6170	0.7
56143	90708	0.45
35690	54604	0.99
35926	88364	0.64
30116	37979	0.38
21661	16161	0.39
91520	96043	0.11
78856	984	0.54
98336	52119	0.82
59946	98304	0.93
2281	65039	0.24
48308	90580	0.72
70447	50484	0.43
18580	36955	0.95
21171	81173	0.67
62423	68094	0.65
86752	13574	0.58
36344	34692	0.12
4760	95633	0.46
6779	52334	0.05
52687	42601	0.42
56521	92568	0.7
98833	59422	0.69
37179	90539	0.07
22114	39490	0.29
53497	87301	0.77
83139	34954	0.54
41909	88953	0.64
21839	95622	0.11
97676	9675	0.63
40492	40217	0.17
49598	32251	0.86
26164	58172	0.78
37859	99080	0.53
22527	33365	0.85
40518	99743	0.36
13576	36657	0.73
34173	65146	0.72
99842	44142	0.34
66383	44649	0.74
54509	66477	0.53
48664	60066	0.28
40849	50103	0.99
36293	47512	0.97
20150	17866	0.6
22190	54528	0.15
71170	58188	0.47
38522	58674	0.49
82017	77733	0.49
61247	8543	0.37
62448	81343	0.55
62658	46609	0.26
57623	41366	0.33
3054	90924	0.32
56585	23914	0.85
64134	89475	0.39
78450	33660	0.99
98016	25078	0.57
45180	305	0.43
94393	19713	0.88
71057	24431	0.7
40808	72428	0.7
